Supplier_Name,CFN (REF),Material_Description,Manufacturer Name
Enovis Slovakia s. r. o.,1355.14.233,SMR Stemless - Stemless Core SMALL - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1355.14.235,SMR Stemless - Stemless Core MEDIUM - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1355.14.238,SMR Stemless - Stemless Core LARGE - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1355.14.240,SMR Stemless - Stemless Core X-LARGE - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1360.50.010,SMR System - Reverse Liner 36 mm Standard  - UHMWPE X-LIMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1360.50.015,SMR System - Reverse Liner 36 mm +3 mm - UHMWPE X-LIMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1360.50.020,SMR System - Reverse Liner 36 mm +6 mm - UHMWPE X-LIMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1361.50.010,SMR System - Reverse Liner 36 mm Retentive Standard - UHMWPE X-LIMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1361.50.015,SMR System - Reverse Liner 36 mm Retentive +3 mm - UHMWPE X-LIMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1361.50.020,SMR System - Reverse Liner 36 mm Retentive +6 mm - UHMWPE X-LIMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1362.09.010,SMR System - Reverse HP Liner Dia.44 mm Short - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1362.09.015,SMR System - Reverse HP Liner Dia.44 mm Medium - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1362.09.020,SMR System - Reverse HP Liner Dia.44 mm Long - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1362.09.115,SMR System - Reverse HP Lateralizing Liner Dia.44 mm Medium - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1362.09.120,SMR System - Reverse HP Lateralizing Liner Dia.44 mm Long - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.010,SMR System - Reverse HP Liner Dia.40 mm Short - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.015,SMR System - Reverse HP Liner Dia.40 mm Medium - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.020,SMR System - Reverse HP Liner Dia.40 mm Long - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.115,SMR System - Reverse HP Lateralizing Liner Dia.40 mm Medium - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.120,SMR System - Reverse HP Lateralizing Liner Dia.40 mm Long - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.401,SMR Stemless - Reverse Liner SHORT Dia.40 mm - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.402,SMR Stemless - Reverse Liner MEDIUM Dia.40 mm - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.403,SMR Stemless - Reverse Liner LONG Dia.40 mm - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.405,SMR Stemless - Reverse Liner SHORT Dia.40 mm - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.406,SMR Stemless - Reverse Liner MEDIUM Dia.40 mm - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.407,SMR Stemless - Reverse Liner LONG Dia.40 mm - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.441,SMR Stemless - Reverse Liner SHORT Dia.44 mm - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.442,SMR Stemless - Reverse Liner MEDIUM Dia.44 mm - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.443,SMR Stemless - Reverse Liner LONG Dia.44 mm - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.445,SMR Stemless - Reverse Liner SHORT Dia.44 mm - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.446,SMR Stemless - Reverse Liner MEDIUM Dia.44 mm - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1365.09.447,SMR Stemless - Reverse Liner LONG Dia.44 mm - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1374.09.105,SMR System - Glenosphere Dia.36 mm with Connector Small-R - CoCrMo ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1374.09.110,SMR System - Glenosphere Dia.36 mm with Connector - CoCrMo ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1374.15.305,SMR System - Connector with Screw Small-R - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1374.15.310,SMR System - Connector with Screw Small STD - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1374.15.312,SMR System - Lateralized Connector +2 mm with Screw Small-R - Ti6Al4V + UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1374.15.314,SMR System - Lateralized Connector +4 mm with Screw Small-R - Ti6Al4V + UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1374.15.322,SMR System - Lateralized Connector +2 mm with Screw Small / STD - Ti6Al4V + UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1374.15.324,SMR System - Lateralized Connector +4 mm with Screw Small / STD - Ti6Al4V + UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1374.15.505,SMR System - Glenoid Plate Small-R Double - Ti CP,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1374.15.510,SMR System - Glenoid Plate STD Double - Ti CP,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1374.50.400,SMR System - Reverse HP Glenosphere Dia.40 mm - UHMWPE X-LIMA + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1374.50.440,SMR System - Reverse HP Glenosphere Dia.44 mm - UHMWPE X-LIMA + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1374.50.444,SMR System - Reverse HP Correction Glenosphere Dia.44 mm - UHMWPE X-LIMA + Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.14.651,SMR System - Axioma TT Glenoid Peg S-R Short - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.14.652,SMR System - Axioma TT Glenoid Peg S-R Medium - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.14.653,SMR System - Axioma TT Glenoid Peg S-R Long - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.14.654,SMR System - Axioma TT Glenoid Peg S-R X-Long - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.14.661,SMR System - Axioma TT Glenoid Peg S/STD Short - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.14.662,SMR System - Axioma TT Glenoid Peg S/STD Medium - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.14.663,SMR System - Axioma TT Glenoid Peg S/STD Long - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.14.664,SMR System - Axioma TT Glenoid Peg S/STD X-Long - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.15.507,SMR System - TT Augmented 360 Baseplate 7°; S-R; Ø27mm - Ti6Al4V ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.15.510,SMR System - TT Augmented 360 Baseplate 10°; S-R; Ø27mm - Ti6Al4V ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.15.515,SMR System - TT Augmented 360 Baseplate 15°; S-R; Ø27mm - Ti6Al4V ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.15.519,"SMR System - TT Augmented 360 Baseplate 19°, S-R, Dia. 27 mm - Ti6Al4V",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.15.522,SMR System - TT Augmented 360 Baseplate +2 mm; S-R; Ø27mm - Ti6Al4V ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.15.524,SMR System - TT Augmented 360 Baseplate +4 mm; S-R; Ø27mm - Ti6Al4V ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.15.565,"SMR System - TT Augmented 360 Baseplate 15X°, S-R, Dia. 27 mm - Ti6Al4V",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.15.569,"SMR System - TT Augmented 360 Baseplate 19°X, S-R, Dia. 27 mm - Ti6Al4V",Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.15.605,SMR System - TT Baseplate Small-R - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.15.610,SMR System - TT Baseplate Standard - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.15.620,SMR System - TT Baseplate Small - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.15.650,SMR System - Axioma TT Baseplate Small-R - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.15.660,SMR System - Axioma TT Baseplate Small - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.15.670,SMR System - Axioma TT Baseplate Standard - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.20.005,SMR System - Metal Back Glenoid Small-R - Ti6Al4V + PoroTi + HA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.20.010,SMR System - Metal Back Glenoid Standard - Ti6Al4V + PoroTi + HA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.20.020,SMR System - Metal Back Glenoid Small - Ti6Al4V + PoroTi + HA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1375.20.030,SMR System - Metal Back Glenoid Large - Ti6Al4V + PoroTi + HA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1376.09.025,SMR System - Eccentrical Glenosphere with Connector Dia.36 mm Small-R - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1376.09.030,SMR System - Eccentrical Glenosphere with Connector Dia.36 mm - CoCrMo,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1377.50.005,SMR System - Metal Back Liner Small-R - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1377.50.010,SMR System - Metal Back Liner Standard - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1377.50.020,SMR System - Metal Back Liner Small - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1377.50.030,SMR System - Metal Back Liner Large - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1377.50.350,SMR System - AXIOMA Metal Back Liner Small-R - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1377.50.360,SMR System - AXIOMA Metal Back Liner Small - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1377.50.370,SMR System - AXIOMA Metal Back Liner Standard - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,1377.50.380,SMR System - AXIOMA Metal Back Liner Large - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,2.14.340,CCB full-profile cup PE 44/28 cem.,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,2.14.341,CCB full-profile cup PE 46/28 cem.,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,2.14.342,CCB full-profile cup PE 48/28 cem.,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,2.14.343,CCB full-profile cup PE 50/28 cem.,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,2.14.344,CCB full-profile cup PE 52/28 cem.,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,2.14.345,CCB full-profile cup PE 54/28 cem.,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,2.14.346,CCB full-profile cup PE 56/28 cem.,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,2.14.347,CCB full-profile cup PE 58/28 cem.,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,2606.05.010,CL TRAUMA Hip - Femoral Stem Small Taper 12/14 - AISI 316L,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,2606.05.015,CL TRAUMA Hip - Femoral Stem Medium Taper 12/14 - AISI 316L,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,2606.05.020,CL TRAUMA Hip - Femoral Stem Large Taper 12/14 - AISI 316L,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,2709-04-005,"THIN OSTEOTOME BLADE, 10MMX3",Symmetry Medical
Enovis Slovakia s. r. o.,2709-04-007,"THIN OSTEOTOME BLADE, 20MMX3",Symmetry Medical
Enovis Slovakia s. r. o.,2709-04-012,RADIAL OSTEOTOME 10MMX5,Symmetry Medical
Enovis Slovakia s. r. o.,2709-04-015,RADIAL OSTEOTOME 16MMX5,Symmetry Medical
Enovis Slovakia s. r. o.,2709-04-023,FLEXIBLE CHISEL BLADE 10MMX5,Symmetry Medical
Enovis Slovakia s. r. o.,3515.21.003,SL Self Locking Femoral Stem - Uncemented Stem Width 4.5 mm #02 Taper 12/14 - Ti6Al4V + PoroTi,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3515.21.005,SL Self Locking Femoral Stem - Uncemented Stem Width 6.5 mm #0 Taper 12/14 - Ti6Al4V + PoroTi,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3515.21.010,SL Self Locking Femoral Stem - Uncemented Stem Width 7.5 mm #1 Taper 12/14 - Ti6Al4V + PoroTi,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3515.21.015,SL Self Locking Femoral Stem - Uncemented Stem Width 8.75 mm #1 PLUS Taper 12/14 - Ti6Al4V + PoroTi,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3515.21.020,SL Self Locking Femoral Stem - Uncemented Stem Width 10 mm #2 Taper 12/14 - Ti6Al4V + PoroTi,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3515.21.030,SL Self Locking Femoral Stem - Uncemented Stem Width 11.5 mm #3 Taper 12/14 - Ti6Al4V + PoroTi,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3515.21.040,SL Self Locking Femoral Stem - Uncemented Stem Width 12.5 mm #4 Taper 12/14 - Ti6Al4V + PoroTi,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3515.21.050,SL Self Locking Femoral Stem - Uncemented Stem Width 13.5 mm #5 Taper 12/14 - Ti6Al4V + PoroTi,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3515.21.060,SL Self Locking Femoral Stem - Uncemented Stem Width 15 mm #6 Taper 12/14 - Ti6Al4V + PoroTi,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3515.21.070,SL Self Locking Femoral Stem - Uncemented Stem Width 17.5 mm #7 Taper 12/14 - Ti6Al4V + PoroTi,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3515.21.080,SL Self Locking Femoral Stem - Uncemented Stem Width 20 mm #8 Taper 12/14 - Ti6Al4V + PoroTi,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3715.07.005,LOGICA Femoral Stem - MIRROR Stem with Centralizer #0 H.130 mm Taper 12/14 - FeCrNiMnMoNbN,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3715.07.010,LOGICA Femoral Stem - MIRROR Stem with Centralizer #1 H.138 mm Taper 12/14 - FeCrNiMnMoNbN,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3715.07.020,LOGICA Femoral Stem - MIRROR Stem with Centralizer #2 H.144 mm Taper 12/14 - FeCrNiMnMoNbN,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3715.07.030,LOGICA Femoral Stem - MIRROR Stem with Centralizer #3 H.150 mm Taper 12/14 - FeCrNiMnMoNbN,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3715.07.040,LOGICA Femoral Stem - MIRROR Stem with Centralizer #4 H.156 mm Taper 12/14 - FeCrNiMnMoNbN,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3715.07.050,LOGICA Femoral Stem - MIRROR Stem with Centralizer #5 H.162 mm Taper 12/14 - FeCrNiMnMoNbN,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3801.15.060,REVISION LR Hip - LR Modular Spacer H.60 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3801.15.120,REVISION LR Hip - LR Modular Spacer H.120 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3810.15.010,REVISION Hip - Modular Stem D.14 mm L.140 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3810.15.020,REVISION Hip - Modular Stem D.14 mm L.200 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3811.15.010,REVISION Hip - Modular Stem D.15 mm L.140 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3811.15.020,REVISION Hip - Modular Stem D.15 mm L.200 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3812.15.010,REVISION Hip - Modular Stem D.16 mm L.140 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3812.15.020,REVISION Hip - Modular Stem D.16 mm L.200 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3813.15.010,REVISION Hip - Modular Stem D.17 mm L.140 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3813.15.020,REVISION Hip - Modular Stem D.17 mm L.200 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3814.15.010,REVISION Hip - Modular Stem D.18 mm L.140 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3814.15.020,REVISION Hip - Modular Stem D.18 mm L.200 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3815.15.010,REVISION Hip - Modular Stem D.19 mm L.140 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3815.15.020,REVISION Hip - Modular Stem D.19 mm L.200 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3816.15.010,REVISION Hip - Modular Stem D.20 mm L.140 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3816.15.020,REVISION Hip - Modular Stem D.20 mm L.200 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3817.15.010,REVISION Hip - Modular Stem D.21 mm L.140 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3817.15.020,REVISION Hip - Modular Stem D.21 mm L.200 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3818.15.010,REVISION Hip - Modular Stem D.22 mm L.140 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3818.15.020,REVISION Hip - Modular Stem D.22 mm L.200 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3819.15.010,REVISION Hip - Modular Stem D.23 mm L.140 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3819.15.020,REVISION Hip - Modular Stem D.23 mm L.200 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3820.15.010,REVISION Hip - Modular Stem D.24 mm L.140 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3820.15.020,REVISION Hip - Modular Stem D.24 mm L.200 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3821.15.010,REVISION Hip - Modular Stem D.25 mm L.140 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3821.15.020,REVISION Hip - Modular Stem D.25 mm L.200 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3822.15.010,REVISION Hip - Modular Stem D.26 mm L.140 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3822.15.020,REVISION Hip - Modular Stem D.26 mm L.200 mm - Ti6Al4V,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3838.15.130,REVISION LR Hip - LR Stem for Large Resection Stem Dia.12 X 130 mm - Ti6Al4V ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3838.15.165,REVISION LR Hip - LR Stem for Large Resection Stem  Dia.12 X 165 mm - Ti6Al4V ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3840.15.130,REVISION LR Hip - LR Stem for Large Resection Stem Dia.14 X 130 mm - Ti6Al4V ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3840.15.165,REVISION LR Hip - LR Stem for Large Resection Stem Dia.14 X 165 mm - Ti6Al4V ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3840.15.200,REVISION LR Hip - LR Stem for Large Resection Stem Dia.14 X 200 mm - Ti6Al4V ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3842.15.130,REVISION LR Hip - LR Stem for Large Resection Stem Dia.16 X 130 mm - Ti6Al4V ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3842.15.165,REVISION LR Hip - LR Stem for Large Resection Stem Dia.16 X 165 mm - Ti6Al4V ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,3842.15.200,REVISION LR Hip - LR Stem for Large Resection Stem Dia.16 X 200 mm - Ti6Al4V ,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4.14.000S,Spec. screw Ti 4x28 sterile,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,4.14.001S,Spec. screw Ti 4x32 sterile,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,4.14.002S,Spec. screw Ti 4x34 sterile,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,4.14.003S,Spec. screw Ti 4x36 sterile,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,4.14.004S,Spec. screw Ti 4x38 sterile,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,4.14.005S,Spec. screw Ti 4x40 sterile,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,4.14.006S,Spec. screw Ti 4x44 sterile,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,4.14.007S,Spec. screw Ti 4x48 sterile,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,4.14.008S,Spec. screw Ti 4x52 sterile,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,4.14.013S,Spec. screw Ti 4x26 sterile,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,4.14.014S,Spec. screw Ti 4x24 sterile,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,4.14.015S,Spec. screw Ti 4x22 sterile,Mathys Ltd Bettlach
Enovis Slovakia s. r. o.,4110.07.220,FRIENDLY Hip - Femoral Stem #1 125 degree H.133 mm Taper 12/14 - FeCrNiMnMoNbN,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.07.230,FRIENDLY Hip - Femoral Stem #2 125 degree H.135 mm Taper 12/14 - FeCrNiMnMoNbN,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.07.240,FRIENDLY Hip - Femoral Stem #3 125 degree H.137 mm Taper 12/14 - FeCrNiMnMoNbN,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.07.320,FRIENDLY Hip - Femoral Stem #1 132 degree H.135 mm Taper 12/14 - FeCrNiMnMoNbN,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.07.330,FRIENDLY Hip - Femoral Stem #2 132 degree H.137 mm Taper 12/14 - FeCrNiMnMoNbN,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.07.340,FRIENDLY Hip - Stem #3 132 degree H.139 mm Taper 12/14 - FeCrNiMnMoNbN,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.410,FRIENDLY Hip System - Centering Plug Dia.10 mm - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.420,FRIENDLY Hip System - Centering Plug Dia.11.25 mm - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.430,FRIENDLY Hip System - Centering Plug Dia.12.5 mm - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.440,FRIENDLY Hip System - Centering Plug Dia.13.75 mm - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.450,FRIENDLY Hip System - Centering Plug Dia.15 mm - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.460,FRIENDLY Hip System - Centering Plug Dia.16.25 mm - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.470,FRIENDLY Hip System - Centering Plug Dia.17.5 mm - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.480,FRIENDLY Hip System - Centering Plug Dia.18.75 mm - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.490,FRIENDLY Hip System - Centering Plug Dia.20 mm - UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.610,FRIENDLY Hip System - Plug and Hood Dia.10 mm - PMMA + UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.620,FRIENDLY Hip System - Plug and Hood Dia.11.25 mm - PMMA + UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.630,FRIENDLY Hip System - Plug and Hood Dia.12.5 mm - PMMA + UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.640,FRIENDLY Hip System - Plug and Hood Dia.13.75 mm - PMMA + UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.650,FRIENDLY Hip System - Plug and Hood Dia.15 mm - PMMA + UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.660,FRIENDLY Hip System - Plug and Hood Dia.16.25 mm - PMMA + UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.670,FRIENDLY Hip System - Plug and Hood Dia.17.5 mm - PMMA + UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.680,FRIENDLY Hip System - Plug and Hood Dia.18.75 mm - PMMA + UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.50.690,FRIENDLY Hip System - Plug and Hood Dia.20 mm - PMMA + UHMWPE,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.55.302,FRIENDLY Hip System - Prox. Centralizer #0 Left - PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.55.304,FRIENDLY Hip System - Prox. Centralizer #0 Right - PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.55.312,FRIENDLY Hip System - Prox. Centralizer #1 Left - PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.55.314,FRIENDLY Hip System - Prox. Centralizer #1 Right - PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.55.322,FRIENDLY Hip System - Prox. Centralizer #2 Left - PMMA,Limacorporate S.p.A.
Enovis Slovakia s. r. o.,4110.55.324,FRIENDLY Hip System - Prox. Centralizer #2 Right - PMMA,Limacorporate S.p.A.
